tag,word,prob
~,RT,0.42574156776097616
~,:,0.37029615428512813
~,...,0.12079179364381185
~,",...",0.001980193338423145
~,---,0.001980193338423145
~,—,0.00396038667684629
~,cont,0.013861353368962015
~,<,0.01188116003053887
~,HaloRT,0.001980193338423145
~,MentionRT,0.001980193338423145
~,>>>,0.001980193338423145
~,<==,0.001980193338423145
~,~,0.001980193338423145
~,<<,0.001980193338423145
~,--,0.00396038667684629
~,...:,0.00396038667684629
~,....,0.001980193338423145
~,-,0.005940580015269435
~,«,0.00396038667684629
~,)RT,0.001980193338423145
~,<-,0.001980193338423145
~,Fwd,0.001980193338423145
~,»»»,0.001980193338423145
~,-----,0.001980193338423145
~,-->,0.001980193338423145
~,RT,0.001980193338423145
~,>,0.001980193338423145
~,",",0.001980193338423145
~,NONE,2.3640963117076747e-06
@,@USER_44285fcc,0.0012919064781153242
@,@USER_a887f5eb,0.0012919064781153242
@,@USER_1d9aecf2,0.0012919064781153242
@,@USER_d908c17a,0.0012919064781153242
@,@USER_0b5e0aa7,0.0012919064781153242
@,@USER_096f97c9,0.0012919064781153242
@,@USER_b3af03f1,0.0012919064781153242
@,@USER_f5eeff1e,0.0012919064781153242
@,@USER_709c203c,0.0012919064781153242
@,@USER_c92ab6fd,0.0012919064781153242
@,@USER_741d38b6,0.0012919064781153242
@,@USER_440dfb5a,0.0012919064781153242
@,@USER_dfe42e91,0.0012919064781153242
@,@USER_b04bb969,0.0012919064781153242
@,@USER_8f0f9d3e,0.0012919064781153242
@,@USER_60f2ca9e,0.0012919064781153242
@,@USER_79a40aaa,0.0012919064781153242
@,@USER_d009a287,0.0012919064781153242
@,@USER_d388ca71,0.0012919064781153242
@,@USER_c1fbc1e2,0.0012919064781153242
@,@USER_f9734926,0.0012919064781153242
@,@USER_36ad6396,0.0012919064781153242
@,@USER_bee12c88,0.0012919064781153242
@,@USER_c1faf02c,0.0012919064781153242
@,@USER_071ed83b,0.0012919064781153242
@,@USER_3eafd4d6,0.0012919064781153242
@,@USER_67e01d5d,0.0012919064781153242
@,@USER_ab0f8e58,0.0012919064781153242
@,@USER_58f6f69d,0.0012919064781153242
@,@USER_95480b7e,0.0012919064781153242
@,@USER_4db51cab,0.0012919064781153242
@,@USER_146aeed9,0.0012919064781153242
@,@USER_2e036a62,0.0012919064781153242
@,@USER_ae4e077b,0.0012919064781153242
@,@USER_01559ac3,0.0012919064781153242
@,@USER_c61ebba6,0.0012919064781153242
@,@USER_b1c4d838,0.0012919064781153242
@,@USER_98f4cbb2,0.0012919064781153242
@,@USER_77296748,0.0012919064781153242
@,@USER_75d04ad0,0.0012919064781153242
@,@USER_5325eb4f,0.0012919064781153242
@,@USER_af3c0e2d,0.0012919064781153242
@,@USER_46df73b2,0.0012919064781153242
@,@USER_42786e4a,0.0012919064781153242
@,@USER_2131bb3f,0.0012919064781153242
@,@USER_edb6c17d,0.0012919064781153242
@,@USER_db94b1f0,0.0012919064781153242
