tag,word,prob
~,RT,0.1989088218975402
~,:,0.17301646014425742
~,...,0.05650083225448492
~,",...",0.0010171999260218236
~,---,0.0010171999260218236
~,—,0.0019419271314962084
~,cont,0.006565563158868133
~,<,0.005640835953393748
~,HaloRT,0.0010171999260218236
~,MentionRT,0.0010171999260218236
~,>>>,0.0010171999260218236
~,<==,0.0010171999260218236
~,~,0.0010171999260218236
~,<<,0.0010171999260218236
~,--,0.0019419271314962084
~,...:,0.0019419271314962084
~,....,0.0010171999260218236
~,-,0.0028666543369705935
~,«,0.0019419271314962084
~,)RT,0.0010171999260218236
~,<-,0.0010171999260218236
~,Fwd,0.0010171999260218236
~,»»»,0.0010171999260218236
~,-----,0.0010171999260218236
~,-->,0.0010171999260218236
~,RT,0.0010171999260218236
~,>,0.0010171999260218236
~,",",0.0010171999260218236
~,NONE,9.24727205474385e-05
@,@USER_44285fcc,0.0008145734597156399
@,@USER_a887f5eb,0.0008145734597156399
@,@USER_1d9aecf2,0.0008145734597156399
@,@USER_d908c17a,0.0008145734597156399
@,@USER_0b5e0aa7,0.0008145734597156399
@,@USER_096f97c9,0.0008145734597156399
@,@USER_b3af03f1,0.0008145734597156399
@,@USER_f5eeff1e,0.0008145734597156399
@,@USER_709c203c,0.0008145734597156399
@,@USER_c92ab6fd,0.0008145734597156399
@,@USER_741d38b6,0.0008145734597156399
@,@USER_440dfb5a,0.0008145734597156399
@,@USER_dfe42e91,0.0008145734597156399
@,@USER_b04bb969,0.0008145734597156399
@,@USER_8f0f9d3e,0.0008145734597156399
@,@USER_60f2ca9e,0.0008145734597156399
@,@USER_79a40aaa,0.0008145734597156399
@,@USER_d009a287,0.0008145734597156399
@,@USER_d388ca71,0.0008145734597156399
@,@USER_c1fbc1e2,0.0008145734597156399
@,@USER_f9734926,0.0008145734597156399
@,@USER_36ad6396,0.0008145734597156399
@,@USER_bee12c88,0.0008145734597156399
@,@USER_c1faf02c,0.0008145734597156399
@,@USER_071ed83b,0.0008145734597156399
