i,j,prob
START,@,0.05170731422112769
START,",",0.05849006796440909
START,L,0.06594222925118834
START,~,0.034894242076963025
START,&,0.0650877543743329
START,S,0.06667180480023166
START,N,0.017563433320544285
START,A,0.024912690293821867
START,G,0.04693987148810237
START,$,0.037997616891157576
START,V,0.0395950409472994
START,R,0.028902306481617967
START,X,0.038017259819770284
START,E,0.05333822994079155
START,T,0.030846879984762272
START,M,0.03008760229080123
START,D,0.042080628183583504
START,O,0.02562119383621044
START,Z,0.015767578033051954
START,!,0.019115387303085467
START,^,0.026520146183848414
START,U,0.0020006067827772716
START,P,0.06606101098128904
START,Y,0.06077098500212836
START,#,0.05106811954710413
@,@,0.01947168356963802
@,",",0.007426092518610203
@,L,0.05067059821451348
@,~,0.0791917185710547
@,&,0.024760148913516206
@,S,0.010422155944613098
@,N,0.025146920175060712
@,A,0.03153313346615909
@,G,0.054052510303642505
@,$,0.04250822970918218
@,V,0.023852467187126362
@,R,0.06938596042497308
@,X,0.019896897007304015
@,E,0.018328260419992942
@,T,0.0769322311340757
@,M,0.039003166035947764
@,D,0.034538125638074194
@,O,0.028135235414651596
@,Z,0.04985870220579678
@,!,0.057398719295041506
@,^,0.006908742669450096
@,U,0.009487670246594682
@,P,0.05515747738667578
@,Y,0.051529516426208906
@,#,0.05959780652988909
@,STOP,0.054805830592207345
",",@,0.005879591024697592
",",",",0.05217835592648627
",",L,0.002979041895930868
",",~,0.030733456629282032
",",&,0.020788993759778676
",",S,0.04911716469599998
",",N,0.08132389676812311
",",A,0.08661703901168291
",",G,0.05269103744845071
",",$,0.003960806745462047
",",V,0.08158018723983312
",",R,0.06375182425611156
",",X,0.02998481535204123
",",E,0.013970240774658835
",",T,0.09326339501442507
",",M,0.0035013414499669147
",",D,0.040873955840086136
",",O,0.01592649862519826
",",Z,0.0053165868369600515
",",!,0.0211180376875165
",",^,0.0034970899856033035
",",U,0.02065724863012345
",",P,0.021835213708013838
",",Y,0.062756442143497
",",#,0.05574268091918493
",",STOP,0.07995505763088546
L,@,0.05937323846588918
L,",",0.018781494321223856
L,L,0.06032710105457931
L,~,0.07133735987813745
L,&,0.0638385154445022
L,S,0.004201964727214116
L,N,0.04834424907165598
L,A,0.07551306459799899
L,G,0.0643418265566658
L,$,0.01918819008892719
L,V,0.031379899079979644
L,R,0.015326368094460387
L,X,0.012749051611254341
L,E,0.02195616131214062
L,T,0.02036988296643078
L,M,0.03197264211726136
L,D,0.03928970721608377
L,O,0.0014121329348174853
L,Z,0.03142156980356312
L,!,0.030101109734443483
L,^,0.0657685681690389
L,U,0.049049950143913675
L,P,0.03014456416202114
L,Y,0.0006601316661918585
L,#,0.06914229418298844
L,STOP,0.06400896259861705
~,@,0.0208306324857801
~,",",0.043597015375453546
~,L,0.05522923321323986
~,~,0.0053705564988916765
~,&,0.008902069631219615
~,S,0.062126553301446195
~,N,0.0682223175787046
~,A,0.04723317244032273
~,G,0.046216579491339976
